Name,RogueTemple,Link,Released,Updated,Developer,Theme,Influences
Mysterious Space,http://roguebasin.roguelikedevelopment.org/index.php?title=Mysterious Space,http://mysteriousspace.com,2014/03/15,2017/06/14,Ben Hendel-Doying,Sci-fi action space shooter,Rogue Crystal Quest
Necropolis,http://roguebasin.roguelikedevelopment.org/index.php?title=Necropolis,http://ludusnovus.net/tag/necropolis/,2008/10/17,2008/12/13,Gregory Weir,,
NetHack,http://roguebasin.roguelikedevelopment.org/index.php?title=NetHack,http://www.NetHack.org/,1987/00/00,2015/12/08,The NetHack DevTeam,"Fantasy, Dungeon crawl",Hack
NitroHack,http://roguebasin.roguelikedevelopment.org/index.php?title=NitroHack,http://nitrohack.org/,2012/01/16,2012/00/00,Daniel Thaler,Fantasy,NetHack
NPPAngband,http://roguebasin.roguelikedevelopment.org/index.php?title=No Pet Peeves Angband,http://nppangband.bitshepherd.net,2003/04/24,2016/05/08,Jeff Greene and Diego Gonzalez (''nppangbanddev''@''verizon.net''),Fantasy,Angband
NoirRL,http://roguebasin.roguelikedevelopment.org/index.php?title=NoirRL,http://vedrl.wordpress.com,2015/03/07,2015/03/07,Vedor,film noir,"noir movies, oldschool adventure games"
NPPMoria,http://roguebasin.roguelikedevelopment.org/index.php?title=NPPMoria,http://nppangband.bitshepherd.net,2003/08/10,2015/05/08,Jeff Greene,Fantasy,NPPAngband
Obumbrata et Velata,http://roguebasin.roguelikedevelopment.org/index.php?title=Obumbrata et Velata,http://www.blackswordsonics.com/martin/obumbrata/,2014/03/14,2014/03/01,Martin Read,Fantasy,miscellaneous fantasy
Omega,http://roguebasin.roguelikedevelopment.org/index.php?title=Omega,http://www.alcyone.com/max/projects/omega/,1980/00/00,2010/02/20,Laurence Brothers,fantasy,the Greek alphabet
Oangband,http://roguebasin.roguelikedevelopment.org/index.php?title=Opinion Angband,http://www.oangband.com/,1998/08/13,2006/02/10,Bahman Rabii,Fantasy,Angband
Paper Dungeons Crawler,http://roguebasin.roguelikedevelopment.org/index.php?title=Paper Dungeons Crawler,https://store.steampowered.com/app/754340/Paper_Dungeons_Crawler/,2018/05/24,2018/08/02,Agent Mega,Fantasy,Nethack
PernAngband,http://roguebasin.roguelikedevelopment.org/index.php?title=PernAngband,http://pernband.sourceforge.net/,1999/00/00,2002/00/00,DarkGod,Fantasy,"Anne McCaffrey's Pern, Angband, ZAngband"
Pixel Dungeon,http://roguebasin.roguelikedevelopment.org/index.php?title=Pixel Dungeon,http://pixeldungeon.watabou.ru,2012/12/04,2015/09/04,Watabou,Fantasy,Brogue
Pocket Realms,http://roguebasin.roguelikedevelopment.org/index.php?title=Pocket Realms,https://jraven.itch.io/pocket-realms,2018/04/07,2018/06/02,Jonathan Otcasek,Traditional,"Nethack, Crawl"
POWDER,http://roguebasin.roguelikedevelopment.org/index.php?title=POWDER,http://www.zincland.com/powder,2003/00/00,2011/12/23,Jeff Lait,Fantasy,NetHack
PRIME,http://roguebasin.roguelikedevelopment.org/index.php?title=PRIME,http://prime-rogue.net/,2011/03/03,2017/03/04,"Psiweapon, Micha&#322; Bieli&#324;ski",Science Fiction,"Zap'M, NetHack, SLASH'EM"
PrincessRL,http://roguebasin.roguelikedevelopment.org/index.php?title=PrincessRL,http://flend.net,2010/03/15,2010/03/01,flend,fantasy,"Princess Maker, DDRogue"
Professional Adventurers' League,http://roguebasin.roguelikedevelopment.org/index.php?title=Professional Adventurers League,https://www.dropbox.com/s/u0cp82z0zm79r0g/Professional%20Adventurers%20League%201.0.0.jar?dl=0,2016/02/09,2016/10/13,Michael Widler,"Fantasy, Sports","Shiren, QuickHack"
PTR: The Roguelike,http://roguebasin.roguelikedevelopment.org/index.php?title=PTR: The Roguelike,https://www.microsoft.com/en-us/store/p/ptr-the-roguelike/9nblggh4ttn4,2017/02/27,2017/02/27,Dawid Farbaniec,Fantasy,
Pugnacious Wizards 2,http://roguebasin.roguelikedevelopment.org/index.php?title=Pugnacious Wizards 2,http://trystans.blogspot.com/2013/09/pugnacious-wizards-2-version-10.html,2013/06/07,2013/09/22,Trystan Spangler,,
PWMAngband,http://roguebasin.roguelikedevelopment.org/index.php?title=PWMAngband,http://www.mangband.org/forum/viewforum.php?f=9/,2007/06/30,2018/07/29,PowerWyrm,Tolkien,"MAngband , TomeNET, Angband"
Quest for the Unicorn,http://roguebasin.roguelikedevelopment.org/index.php?title=Quest for the Unicorn,http://www.elf-emulation.com/rcs/unicorn5/index.html,1990/00/00,2016/07/19,Mike Riley,Fantasy,Rogue
Quickband,http://roguebasin.roguelikedevelopment.org/index.php?title=Quick Angband,http://angband.oook.cz/quickband/,2005/07/01,2012/12/02,Antoine,Fantasy,NPPAngband
QuickHack,http://roguebasin.roguelikedevelopment.org/index.php?title=QuickHack,https://docs.google.com/file/d/0B6oeeUZo0SLSdUxSdmpaX05Zd3c/edit,2012/07/04,2013/02/05,Michael Widler,Arcade Fantasy,"Shiren the Wanderer, DoomRL, Rogue"
Ragnarok/Valhalla,http://roguebasin.roguelikedevelopment.org/index.php?title=Ragnarok,http://roguelikes.sauceforge.net/pub/ragnarok/,1992/00/00,1995/00/00,"Thomas Boyd, Rob Vawter",Norse mythology,NetHack
Reaping the Dungeon,http://roguebasin.roguelikedevelopment.org/index.php?title=Reaping the dungeon,,1994/00/00,1000/00/00,Ron Heuse,Science Fiction,
Red Rogue,http://roguebasin.roguelikedevelopment.org/index.php?title=Red Rogue,http://www.redrogue.net,2012/12/04,2016/03/10,Aaron Steed,Traditional / Platformer,"Rogue, Hack, Spelunky"
Remixed Pixel Dungeon,http://roguebasin.roguelikedevelopment.org/index.php?title=Remixed Pixel Dungeon,http://wiki.nyrds.net,2014/12/28,2018/04/05,NYRDS,Fantasy,Pixel Dungeon
Return to the Dungeons of Doom,http://roguebasin.roguelikedevelopment.org/index.php?title=Return to the Dungeons of Doom,https://sites.google.com/site/rttdod/,2013/08/19,2013/08/19,Zurn,Fantasy,Rogue
RevivedHack,http://roguebasin.roguelikedevelopment.org/index.php?title=RevivedHack,http://www.freewebs.com/drussell/#RevivedHack,2011/08/31,2011/08/31,Donnie Russell,,PC Hack
Robotfindskitten,http://roguebasin.roguelikedevelopment.org/index.php?title=Robotfindskitten,http://robotfindskitten.org/,1997/00/00,2008/03/25,Leonard Richardson,Zen simulation,
Rodney,http://roguebasin.roguelikedevelopment.org/index.php?title=Rodney,http://slashware.net/rodney/,2013/05/14,2013/06/19,Slash,Fantasy,"DoomRL, Rogue"
Rogue,http://roguebasin.roguelikedevelopment.org/index.php?title=Rogue,http://rogue.rogueforge.net/,1980/00/00,2007/09/27,"Michael Toy, Glenn Wichman, Ken Arnold",Fantasy,"Dungeons & Dragons, Colossal Cave Adventure"
Rogue Clone,http://roguebasin.roguelikedevelopment.org/index.php?title=Rogue Clone,http://rogueclone.sourceforge.net/,1986/00/00,2007/00/00,"Tim Stoehr, many others",Fantasy,Rogue
Rogue Fable II,http://roguebasin.roguelikedevelopment.org/index.php?title=Rogue Fable II,,2017/03/00,2017/03/25,Justin Wang,Fantasy,DCSS
Rogue Planets,http://roguebasin.roguelikedevelopment.org/index.php?title=Rogue Planets,https://drive.google.com/open?id=0B1VapDGffCdPbEJxckI4LUYtdm8,2009/00/00,2009/08/18,Rya Reisender,Science fiction,Phantasy Star II
Rogue Touch,http://roguebasin.roguelikedevelopment.org/index.php?title=Rogue Touch,http://www.chronosoft.com/roguetouch.html,2009/02/19,2010/07/09,ChronoSoft,,Rogue
Rogue's Tale,http://roguebasin.roguelikedevelopment.org/index.php?title=Rogue's Tale,http://rogue.epixx.org,2012/12/31,2014/01/12,Niilo Langinkoski,Fantasy,"Rogue, Western RPGs"
ROGUElike ONE,http://roguebasin.roguelikedevelopment.org/index.php?title=ROGUElike ONE,http://slashware.net/roguelikeone/,2016/12/16,2016/12/27,Slash,Science Fiction,"DoomRL, Rogue, Rodney"
Roguemare,http://roguebasin.roguelikedevelopment.org/index.php?title=Roguemare,https://lotuskip.github.io/,2017/10/02,2018/06/30,lotuskip,Other,"Adom, Alphaman"
roguezombies,http://roguebasin.roguelikedevelopment.org/index.php?title=Roguezombies,http://code.google.com/p/roguezombies/,2011/10/12,2011/10/12,Ondras,Classic,
Rouge,http://roguebasin.roguelikedevelopment.org/index.php?title=Rouge,http://roguelikeeducation.org/3.html,2014/01/05,2014/01/05,Tectorum,Historical,CoreRL
"Ruoeg, a minimalist roguelike",http://roguebasin.roguelikedevelopment.org/index.php?title=Ruoeg,https://github.com/SanchezSobrino/Ruoeg,2013/05/03,2013/05/03,Santiago Sanchez Sobrino,Fantasy,"Legend of Grimrock, The Legend of Zelda"
S.C.O.U.R.G.E.,http://roguebasin.roguelikedevelopment.org/index.php?title=SCOURGE,http://scourgeweb.org/,2004/03/14,2008/12/23,,,"Nethack, Moria"
SECTOR 2F,http://roguebasin.roguelikedevelopment.org/index.php?title=SECTOR 2F,http://devilbuddy.itch.io/sector-2f,2016/01/15,2016/01/17,Devilbuddy,Sci-fi,
Settlement,http://roguebasin.roguelikedevelopment.org/index.php?title=Settlement,http://www.alamak0ta.republika.pl/settlement.html,2009/02/00,2009/02/00,Jakub Debski,Hist./Fantasy,
Shepherd Slaughter,http://roguebasin.roguelikedevelopment.org/index.php?title=Shepherd Slaughter,http://blindhack.com/,2011/10/00,2012/05/30,Blindhack Software,"Fantasy, Adventure, Magic, Dangerous","Nethack, Diablo, Rogue"
Shiny Gauntlet,http://roguebasin.roguelikedevelopment.org/index.php?title=Shiny Gauntlet,http://store.steampowered.com/app/454700/,2015/10/01,2017/04/17,Spritewrench,Fantasy,"Binding of Isaac, nuclear throne"
Shoot First,http://roguebasin.roguelikedevelopment.org/index.php?title=Shoot First,http://teknopants.com/games/shootfirst,2010/07/06,2010/07/28,Beau Blyth,Action / Co-op,Robotron
Sigmore Mines,http://roguebasin.roguelikedevelopment.org/index.php?title=Sigmore Mines,http://sigmoremines.ktgames.net/,2007/00/00,2007/00/00,Kamil Toszek ,fantasy,Dweller
Sigmore Mines 2,http://roguebasin.roguelikedevelopment.org/index.php?title=Sigmore Mines 2,http://sigmoremines2.ktgames.net/,2008/01/00,2008/01/00,Kamil Toszek ,fantasy,"Dweller,Sigmore Mines"
Sigmore Mines 2 For Android,http://roguebasin.roguelikedevelopment.org/index.php?title=Sigmore Mines 2 For Android,http://www.ktgames.net/,2011/05/00,2011/05/00,Kamil Toszek ,fantasy,"Dweller,Sigmore Mines"
Sil,http://roguebasin.roguelikedevelopment.org/index.php?title=Sil,http://www.amirrorclear.net/flowers/game/sil/,2012/01/03,2016/01/04,half,Fantasy,Angband
SilverQuest,http://roguebasin.roguelikedevelopment.org/index.php?title=SilverQuest,http://www.desura.com/games/silverquest,2008/09/02,2011/09/19,Wolfgang Wozniak (''SilverQuestGame@gmail.com''),Fantasy,"Diablo, Dwarf Fortress, Legend of Zelda"
Skills Angband (Sangband),http://roguebasin.roguelikedevelopment.org/index.php?title=Skills Angband,http://code.google.com/p/skills-angband/,1998/07/20,2010/10/08,"Leon Marrick, Joshua Middendorf",Fantasy,"Angband, Oangband"
SLASH'EM,http://roguebasin.roguelikedevelopment.org/index.php?title=SLASH'EM,http://slashem.sourceforge.net,2006/12/30,2006/12/30,The SLASH'EM DevTeam,fantasy,"NetHack,SLASH"
Slash'EM Extended,http://roguebasin.roguelikedevelopment.org/index.php?title=Slash'EM Extended,http://nethackwiki.com/wiki/Slash%27EM_Extended,2013/12/16,2018/02/15,Amy Bluescreenofdeath,fantasy,"NetHack, SLASH, SLASH'EM, UnNetHack, SporkHack, ToME, Angband, ADOM"
Sleeping Beauty,http://roguebasin.roguelikedevelopment.org/index.php?title=Sleeping Beauty,http://ondras.github.io/sleeping-beauty/,2017/03/10,2017/03/10,Ondras,Internal,
Space Grunts,http://roguebasin.roguelikedevelopment.org/index.php?title=Space grunts,http://spacegrunts.com,2015/09/15,2015/11/08,Orangepixel,Sci-fi,"Brogue, Half-way, DoomRL"
Spelly,http://roguebasin.roguelikedevelopment.org/index.php?title=Spelly,https://spelly-game.firebaseapp.com/?utm_source=rb&utm_medium=sidebar&utm_campaign=spelly,2015/00/00,2016/05/19,tps12,Anagrams,Scrabble
Spelunky,http://roguebasin.roguelikedevelopment.org/index.php?title=Spelunky,http://spelunkyworld.com/,2008/12/21,2010/00/00,Derek Yu,Indiana Jones,Nethack
Sproggiwood,http://roguebasin.roguelikedevelopment.org/index.php?title=Sproggiwood,http://www.freeholdgames.com,2014/10/00,2014/11/00,Freehold Games,Finnish fantasy,"Caves of Qud, ADOM, DotA"
SRogue,http://roguebasin.roguelikedevelopment.org/index.php?title=SRogue,http://saufnix.dynalias.org/downloads/srogue/index.html,2010/00/00,2010/00/00,Thomas_Strasser,Fantasy,"Rogue,Ultima"
Star Wars Miniature,http://roguebasin.roguelikedevelopment.org/index.php?title=Star-wars,https://github.com/ondras/star-wars,2012/11/20,2012/11/20,Ondras,Star Wars,
Steam Sky,http://roguebasin.roguelikedevelopment.org/index.php?title=Steam sky,https://thindil.github.io/steamsky/,2016/07/24,2018/07/01,Thindil,Steampunk,"Dwarf Fortress, Elite, CataclysmDDA"
Super-Rogue,http://roguebasin.roguelikedevelopment.org/index.php?title=Super-Rogue,http://rogue.rogueforge.net/super-rogue-9-0/,2004/00/00,2005/03/22,"Robert D. Kindelberger, Roguelike Restoration Project, others",,Rogue
Sword of Fargoal,http://roguebasin.roguelikedevelopment.org/index.php?title=Sword of Fargoal,http://fargoal.com/,1983/00/00,1983/00/00,Jeff McCord,Fantasy,
Sword of the Stars: The Pit,http://roguebasin.roguelikedevelopment.org/index.php?title=Sword of the Stars: The Pit,http://sots-thepit.com/,2013/00/00,2016/03/21,Kerberos Productions,Science Fiction,"Rogue for the Atari ST, NetHack, Diablo"
Tale written in bytes,http://roguebasin.roguelikedevelopment.org/index.php?title=Tale written in bytes,http://aniolycyberprzestrzeni.pl/Projects/Details/1,2018/01/12,2018/01/12,Dawid Farbaniec,Cyber-fantasy,Roguelike and Platformer games
T.o.M.E.,http://roguebasin.roguelikedevelopment.org/index.php?title=Tales of Maj'Eyal,http://te4.org/,2010/10/24,2017/03/09,"DarkGod, various Dark Priests",Fantasy,"Tolkien, Anne McCaffrey"
Tales of Middle Earth,http://roguebasin.roguelikedevelopment.org/index.php?title=Tales of Middle Earth,http://ftp.sunet.se/mirror/archive/ftp.sunet.se/pub/games/Angband/Variant/PernAngband/,2000/00/00,2008/00/00,DarkGod,Fantasy,"JRR Tolkien's Arda, Angband, PernAngband"
Tangledeep,http://roguebasin.roguelikedevelopment.org/index.php?title=Tangledeep,https://store.steampowered.com/app/628770/Tangledeep/,2017/00/00,2018/02/01,Impact Gameworks,Fantasy,"Secret of Mana, Final Fantasy"
Tastes Like Spelunky,http://roguebasin.roguelikedevelopment.org/index.php?title=Tastes Like Spelunky,http://mossmouth.com/forums/index.php?topic=1087.0,2010/04/00,2011/00/00,Halibabica,Sci-fi,Spelunky
Teemu,http://roguebasin.roguelikedevelopment.org/index.php?title=Teemu,http://koti.mbnet.fi/paulkp/teemu/teemu.htm,2008/12/07,2010/09/24,Paul Pekkarinen,Fantasy,
Teleglitch,http://roguebasin.roguelikedevelopment.org/index.php?title=Teleglitch,http://teleglitch.com/,2012/11/24,2013/00/00,Johamm Tael & Mihkel Tael,Sci-fi Survival Horror,"Doom, Alien Breed"
Telengard,http://roguebasin.roguelikedevelopment.org/index.php?title=Telengard,http://www.aquest.com/telen.htm,1982/00/00,1982/00/00,Daniel M. Lawrence,Fantasy,DND
The Chase,http://roguebasin.roguelikedevelopment.org/index.php?title=The Chase,http://nerdygentleman.itch.io/the-chase,2015/03/14,2015/03/15,Lachlan Kingsford and Wade Dyer,Horror,Super Mario Bros
The Conception,http://roguebasin.roguelikedevelopment.org/index.php?title=The Conception,http://ondras.zarovi.cz/games/conception/,2013/03/16,2013/03/16,Ondras,Internal,
The Depths of Tolagal,http://roguebasin.roguelikedevelopment.org/index.php?title=The Depths of Tolagal,http://www.the-depths-of-tolagal.com/,2014/11/07,2015/02/01,Angry Toad Studios,Fantasy,
The Dungeon,http://roguebasin.roguelikedevelopment.org/index.php?title=The Dungeon,http://www.jtiv.net/,2010/10/31,2010/12/18,Half-Bit Software,Fantasy,The Dungeon of Doom
The Duster in the Bunker,http://roguebasin.roguelikedevelopment.org/index.php?title=The Duster in the Bunker,https://relativisticcomplexitist.itch.io/the-duster-in-the-bunker,2018/07/27,2018/07/27,relativisticcomplexitist,"Sci-fi, Martial Arts","Conway's Game of Life, DCSS, Caves of Qud, Dragon Ball"
The Ground Gives Way,http://roguebasin.roguelikedevelopment.org/index.php?title=The Ground Gives Way,http://www.thegroundgivesway.com,2014/06/20,2018/04/11,BtS,Fantasy,"Castlevania, POWDER , Incursion, Angband"
The Lair of Xar,http://roguebasin.roguelikedevelopment.org/index.php?title=The Lair of Xar,http://www.cniska.net/index.html,2011/10/06,2011/10/06,Calistar,Fantasy,"NetHack, ADOM, Diablo"
The Land,http://roguebasin.roguelikedevelopment.org/index.php?title=The Land,http://www.elf-emulation.com/rcs/TheLand_5_0_2.zip,1985/00/00,2013/00/00,Mike Riley,Fantasy,Rogue
The Minstrel's Song,http://roguebasin.roguelikedevelopment.org/index.php?title=The Minstrel's Song,http://jonathanscorner.com/tms/download/download.html,1998/00/00,2005/08/22,Jonathan Hayward,Fantasy,Christianity
The Rogue of 5,http://roguebasin.roguelikedevelopment.org/index.php?title=The Rogue of 5,https://jan-rl.itch.io/therogueof5,2017/12/21,2017/12/21,Jan,Fantasy,"POWDER, Brogue"
The Royal Wedding,http://roguebasin.roguelikedevelopment.org/index.php?title=The Royal Wedding,http://ondras.zarovi.cz/games/trw/,2013/03/04,2013/03/04,Ondras,Classical,
The Ruins of,http://roguebasin.roguelikedevelopment.org/index.php?title=The Ruins of,http://www.theruinsof.com/,2009/06/00,2012/11/00,Ben Hendel-Doying,Pre-WWI adventuring archaeology,Rogue
The Temple of Torment,http://roguebasin.roguelikedevelopment.org/index.php?title=The Temple of Torment,http://www.thetempleoftorment.net,2014/01/00,2018/05/26,Aukustus,"Fantasy, Late Medieval","Diablo, Baldur's Gate, ADOM, d20"
The Thirty One Lieutenants of Sorcerer Bedsui,http://roguebasin.roguelikedevelopment.org/index.php?title=The Thirty One Lieutenants of Sorcerer Bedsui,http://antumbrastation.com/bedsui-project.html,2017/10/14,2018/02/02,Antumbrastation,Fantasy,"ChessRogue, Hneftafl"
The Tomb of Drewan,http://roguebasin.roguelikedevelopment.org/index.php?title=The Tomb of Drewan,http://studio2.classicgaming.gamespy.com/valley/valley.htm,1982/00/00,1982/00/00,,Fantasy,
The Infinite Dungeons,http://roguebasin.roguelikedevelopment.org/index.php?title=TheInfiniteDungeons,http://www.windowsphone.com/en-us/store/app/the-infinite-dungeons/7d891627-aac0-4c29-9fa2-e517874b2377,2014/09/03,1000/00/00,Dawid Farbaniec,Fantasy,Rogue
theTombs,http://roguebasin.roguelikedevelopment.org/index.php?title=TheTombs,http://www.thetombs.com/,2005/04/16,2005/04/16,Martin Woodard,Fantasy,
TileRogue,http://roguebasin.roguelikedevelopment.org/index.php?title=TileRogue,http://www.freewebs.com/drussell/TileRogue.htm,2008/03/27,2008/03/27,Donnie Russell,,Rogue
TomeNET,http://roguebasin.roguelikedevelopment.org/index.php?title=TomeNET,http://www.tomenet.eu/,2001/00/00,2017/03/11,"C. Blue, Mikael, Adam, Relsiet (Runecraft), Moltor (Arcade), Kurzel (Runecraft+general)",Tolkien,MAngband
TraumaRL,http://roguebasin.roguelikedevelopment.org/index.php?title=TraumaRL,http://flend.net,2014/03/16,2014/05/01,"flend, ShroomArts",scifi,"DoomRL, System Shock"
Triangle Wizard,http://roguebasin.roguelikedevelopment.org/index.php?title=Triangle Wizard,http://trianglewizard.webs.com/,2008/10/27,2018/01/16,Wouter van den Wollenberg ,Fantasy,"NetHack, Diablo, Age of Wonders"
TwilightMMORL,http://roguebasin.roguelikedevelopment.org/index.php?title=TwilightMMORL,http://twilightmmorl.wordpress.com/,2008/07/00,2010/01/00,Moomast3r,"Fantasy, Multiplayer",None
Ugly Rogue,http://roguebasin.roguelikedevelopment.org/index.php?title=Ugly Rogue,http://www.ugly-dogs.com,2012/02/20,2012/02/22,uglydogs,Fantasy,"Nethack, Diablo"
Ularn,http://roguebasin.roguelikedevelopment.org/index.php?title=Ularn,http://www.ularn.org/,1992/00/00,2006/11/14,"Phil Cordier, Josh Brandt, Josh Bressers, David Richerby",Fantasy,Larn
UltraRogue,http://roguebasin.roguelikedevelopment.org/index.php?title=UltraRogue,http://rogue.rogueforge.net/ultrarogue-1-07/,2005/00/00,2005/02/07,"Herb Chong, Roguelike Restoration Project, others",,"Rogue, Advanced Rogue"
UnBrogue,http://roguebasin.roguelikedevelopment.org/index.php?title=UnBrogue,http://roguelikedeveloper.blogspot.com.au/search/label/unbrogue,2012/00/00,2013/07/15,Andrew Doull,Fantasy,Brogue
Unexplored,http://roguebasin.roguelikedevelopment.org/index.php?title=Unexplored,http://www.ludomotion.com/article.php?ref=unexplored,2016/08/10,2017/02/22,Ludomotion,Fantasy,Brogue
UnAngband,http://roguebasin.roguelikedevelopment.org/index.php?title=Unnamed Angband,https://dgolddragon28.github.io/Unangband/,2000/11/04,2017/10/30,"Andrew Doull, DGoldDragon28",Fantasy,Angband
UnPabloQuest,http://roguebasin.roguelikedevelopment.org/index.php?title=UnPabloQuest,http://vedrl.wordpress.com,2015/00/00,2016/00/00,Vedor,fantasy,"PabloQuest, Angband, NetHack, Dwarf Fortress"
UnReal World,http://roguebasin.roguelikedevelopment.org/index.php?title=UnReal World,http://www.unrealworld.fi,1992/00/00,2018/04/01,Sami Maaranen,Survival,
Valhalla,http://roguebasin.roguelikedevelopment.org/index.php?title=Valhalla,https://sourceforge.net/projects/zpg/,2012/04/22,2015/04/16,Iniquitatis,Fantasy,"Diablo, Dungeon Crawl Stone Soup, Dungeon Siege"
Voyage to Farland,http://roguebasin.roguelikedevelopment.org/index.php?title=Voyage to Farland,http://www.peculiar-games.com/,2010/06/05,2015/11/12,P.A. Casey (crow),Fantasy,Shiren the Wanderer
WazHack,http://roguebasin.roguelikedevelopment.org/index.php?title=WazHack,http://www.wazhack.com/,2012/06/25,2014/02/00,Warwick Allison (Waz),Fantasy,"Rogue, NetHack"
Web Raid,http://roguebasin.roguelikedevelopment.org/index.php?title=WebRaid,http://webraid.freehosting.net/index.html,2010/01/20,2010/04/23,Karlheinz Agsteiner,None particularly,Nethack
Web Raid Mobile,http://roguebasin.roguelikedevelopment.org/index.php?title=WebRaidMobile,https://market.android.com/details?id=de.agsteiner.android.webraid,2011/11/02,2013/11/05,Karlheinz Agsteiner,None particularly,"NetHack, WebRaid"
WindTales,http://roguebasin.roguelikedevelopment.org/index.php?title=WindTales,http://www.windowsphone.com/en-us/store/app/windtales/b67730e3-2560-4e66-953c-f409cf07f2be,2014/04/02,1000/00/00,Dawid Farbaniec,Fantasy,Roguelikes
WindTales3D,http://roguebasin.roguelikedevelopment.org/index.php?title=WindTales3D,http://www.windowsphone.com/en-us/store/app/windtales3d-orcs-gold/068213ae-9048-40b9-aa24-236c15d89c84,2014/08/25,1000/00/00,Dawid Farbaniec,Fantasy,Roguelikes
XAngband,http://roguebasin.roguelikedevelopment.org/index.php?title=XAngband,http://xangband.sourceforge.jp/eng/,2003/04/03,2009/03/05,iks,Fantasy,ZAngband
Xenomorph 7drl of Infinite Underworld,http://roguebasin.roguelikedevelopment.org/index.php?title=Xenomorph 7drl of Infinite Underworld,https://coolai.itch.io/xenomorph-7drl,2018/03/11,2018/00/00,Anohin Denis,Fantasy,"Demon Tactic, Gruesome"
XirrelaiRPG,http://roguebasin.roguelikedevelopment.org/index.php?title=XirrelaiRPG,http://forgottenplanet.com/caillan/xirrelairpg/index.html,2011/01/26,2011/05/17,Pteriforever,DNDish Stock Fantasy,"SLASH'EM, ToMe4, Merlin's Revenge 2"
XLarn,http://roguebasin.roguelikedevelopment.org/index.php?title=XLarn,http://swinfjord-games.com/LarnII-us.html,2015/05/25,2016/07/30,Swinfjord-Games,Fantasy,Larn
XRogue,http://roguebasin.roguelikedevelopment.org/index.php?title=XRogue,http://rogue.rogueforge.net/xrogue-8-0/,2000/00/00,2015/11/29,"Robert Pietkivitch, Roguelike Restoration Project, others",,"Super-Rogue, Advanced Rogue"
Yin-Yangband,http://roguebasin.roguelikedevelopment.org/index.php?title=Yin-Yangband,http://www.angband.pwp.blueyonder.co.uk/ying.html,1000/00/00,1000/00/00,Dag Arneson,Fantasy,Angband
Yodanji,http://roguebasin.roguelikedevelopment.org/index.php?title=Yodanji,http://www.kemco.jp/sp/games/yodanji/en/index.html,2017/00/00,2017/06/05,Kemco,Yokai,
ZAngband,http://roguebasin.roguelikedevelopment.org/index.php?title=Zangband,http://www.zangband.org,1994/00/00,2004/08/02,Topi Ylinen,Fantasy,"""Amber"" by Roger Zelazny, Angband"
ZigClimb,http://roguebasin.roguelikedevelopment.org/index.php?title=ZigClimb,http://flend.net,2010/01/10,1000/00/00,flend,Egypt,A Journey to Hell
Zomband,http://roguebasin.roguelikedevelopment.org/index.php?title=Zomband,http://www.zooptek.net/drupal/?q=node/15,2007/03/31,2008/07/20,ZoopTEK,Zombies,"Angband, zombies"
Zombie Rogue,http://roguebasin.roguelikedevelopment.org/index.php?title=Zombie Rogue,https://gamefish.itch.io/,2018/03/16,2018/04/22,Game Fish,Zombie,"Cardinal Quest, Pixel Dungeon"
Zone,http://roguebasin.roguelikedevelopment.org/index.php?title=Zone,http://zonedev.tumblr.com/,2012/04/15,2012/04/15,Quarry,Zombie Apocalypse,
